Klient: /127.0.0.1 55576 Wynik: 4 Odpowiedzi: A, , A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55622 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55621 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55625 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55620 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55624 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55623 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55632 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55628 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55627 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55631 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55629 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55630 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55648 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55742 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55633 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55747 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55635 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55641 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55637 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55750 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55636 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55642 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55646 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55650 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55653 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55639 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55657 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55654 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55751 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55658 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55661 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55640 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55665 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55668 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55666 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55758 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55669 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55643 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55680 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55684 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55672 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55644 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55652 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55693 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55651 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55688 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55676 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55626 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55685 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55681 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55741 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55687 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55754 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55755 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55766 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55686 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55670 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55638 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55667 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55655 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55689 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55673 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55752 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55671 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55677 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55740 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55807 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55691 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55739 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55759 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55738 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55746 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55634 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55692 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55745 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55748 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55647 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55656 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55675 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55760 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55678 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55761 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55764 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55769 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55789 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55790 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
Klient: /127.0.0.1 55798 Wynik: 3 Odpowiedzi: B, B, B, B, B, B, B, B, B, B, 
